,Survey_Site_Name,Latitude,Longitude,X_Coordinate,Y_Coordinate,UTM_Datum,Zone, Approx. Elevation (m),*Elevation_Source,*Location Accuracy (UTM) m,Land_Ownership,Forest_Name,District_Name,BLM_District,BLM_Resource_Area,Quad,Quarter Quad number,County,Province/Territory,Hab_Microsite,Hab_Cover_type,Vegetation,Description - Directions to site,Habitat_ID,Hab_Use,Visit_ID,Comments - Net set up description,Start_Date,Stop_Date,Start_Time,Stop_Time,Cloud ,*Starting_Precipitatio,Wind ,Start Temp,Start_Temp_Units,Stop_Temp,Stop_Temp_Units,Moon_Phase,Civil_Sunet,Remote Station,Principle_Investigator,Principle_Invest_Location,*Primary_Observer,*Primary_Observer_Location,*Observer_Qualifications,Other_Observers,Observation_Method,Technique,Comments,
,Trailhead on Parsons to WalkIn,,,431506,6622977,NAD83,12V,245,GPS approximation,,,,Wood Buffalo National Park,,,,,,AB,detector on treed travel road between lake and cave hibernaculum,,,,,,,,11-Sep-10,13-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,SM2BAT,,
,Peace River Peace Point Anabat,,,417145,6554697,NAD83,12V,220,GPS approximation,,,,Wood Buffalo National Park,,,,,,AB,"detector on river shore, but battery almost dead so did not record long",,,,,,,,12-Sep-10,13-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,Anabat,battery low so recorded very little,
,Lake at Trailhead on Parsons to WalkIn,,,431460,6622990,NAD83,12V,245,GPS approximation,,,,Wood Buffalo National Park,,,,,,AB,medium sized lake near Walk In cave hibernaculum; treed area and adjacent to gravel road,,,,,,,,13-Sep-10,14-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,SM2BAT,,
,Pine Lake Road Gate,,,431614,6599005,NAD83,12V,275,GPS approximation,,,,Wood Buffalo National Park,,,,,,AB,detector at intersection of gravel roads and cutline near Pine Lake,,,,,,,,13-Sep-10,14-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,Anabat,,
,Pine Lake Acoustic - South,,,430951,6599216,NAD83,12V,260,GPS approximation,,,,Wood Buffalo National Park,,,,,,AB,detector on Pine Lake shore near trail leading over to Lane Lake,,,,,,,,14-Sep-10,15-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,Anabat,*Note: 2 detectors running side by side plus a third one for first hour of night.,
,Parson's Corner with Highway,,,433740,6617667,NAD83,12V,260,GPS approximation,,,,Wood Buffalo National Park,,,,,,AB,detector main N-S highway through Park (to test if flight corridor through trees),,,,,,,,14-Sep-10,15-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,SM2BAT,,
,7 Mile Road,,,408460,6652540,NAD83,12 V ,200,GPS approximation,,,,South Slave Region,,,,,,NWT,"wetland, flooded and treed",,,,,,,,15-Sep-10,18-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,SM2BAT,,
,7 Mile Lake Shore,,,409061,6652605,NAD83,12V,190,GPS approximation,,,,South Slave Region,,,,,,NWT,large lake with detector at edge,,,,,,,,15-Sep-10,19-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,SM2BAT,,
,Foxhole Road,,,416287,6655158,NAD83,12V,210,GPS approximation,,,,South Slave Region,,,,,,NWT,confluence of gravel roads; treed area,,,,,,,,17-Sep-10,18-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,Anabat,,
,Confluence Salt with Slave Rivers,,,431500,6664356,NAD83,12 V ,160,GPS approximation,,,,South Slave Region,,,,,,NWT,confluence of 2 major rivers; detector at shore,,,,,,,,17-Sep-10,20-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,Anabat,,
,LB Territorial Park boat launch,,,406509,6658842,NAD83,12V,175,GPS approximation,,,,South Slave Region,,,,,,NWT,detector on tree at edge of Salt River,,,,,,,,15-Sep-10,19-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,SM2BAT,*Note: did not record on the 17th Sept,
,Petterson Acoustic at LBH,,,406466,6658341,NAD83,12V,220,GPS approximation,,,,South Slave Region,,,,,,NWT,narrow quad trail near parking lot,,,,,,,,18-Sep-10,19-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,Pettersson D240x,,
,WalkIn Cave (main entrance),,,432457,6624395,NAD83,12V,260,GPS approximation,,,,Wood Buffalo National Park,,,,,,AB,U-shaped cave (floor of water; 1 of 2 significant entrances - northmost),,,walk north from Parson's Road starting at 431506 6622977,,,,,10-Sep-10,10-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,Pettersson D240x,,
,LB Territorial Park beaver pond,,,405745,6658431,NAD83,12 V ,185,GPS approximation,,,,South Slave Region,,,,,,NWT,detector at edge of beaver pond on Salt River,,,,,,,,16-Sep-10,17-Sep-10,,,,,,,,,,,,,,,,,,,acoustic,Anabat,didn't work?,
