Bat ID,Bat Species,Date Captured,Site ID,Reproductive Condition,Age,Sex,Forearm Length,Wing Score,Mass (prior resp),Before Fat,Before Lean,Before Free Water,Before Total Water,After Fat,After Lean,After Free Water,After Total Water,Comments
MYTH17,Myotis thysanodes,28/09/2017,LCC,Scrotal,Adult,Male,42.7,1,10.3,2.69,4.06,0.01,3.23,,,,,mean = 14.58; stdev = 0.11
MYTH18,Myotis thysanodes,28/09/2017,LCC,Non-reproducing,Adult,Male,42.6,1,9.8,2.99,5.83,0,4.64,,,,,mean = 14.58; stdev = 0.11
MYTH19,Myotis thysanodes,28/09/2017,LCC,Non-reproducing,Adult,Female,42.3,1,8.8,2.39,4.4,0,4.05,,,,,mean = 14.58; stdev = 0.11
MYTH20,Myotis thysanodes,28/09/2017,LCC,Scrotal,Adult,Male,42.2,1,10.1,3.12,6.04,0.14,5.21,,,,,mean = 14.58; stdev = 0.11
MYTH21,Myotis thysanodes,28/09/2017,LCC,Non-reproducing,Young of the Year,Male,40.4,1,8.7,2.51,5.21,0,4.73,,,,,mean = 14.58; stdev = 0.11
COTO32,Corynorhinus townsendii,2/10/2017,LCUT,Scrotal,Adult,Male,40.9,0,8.1,0.43,6.2,0.03,4.64,,,,,mean = 14.65; stdev = 0.15
COTO33,Corynorhinus townsendii,2/10/2017,LCUT,Non-reproducing,Adult,Female,44.7,1,13,2.53,6.37,0,5.22,,,,,mean = 14.65; stdev = 0.15
COTO34,Corynorhinus townsendii,2/10/2017,LCUT,Non-reproducing,Adult,Female,45.8,1,12,2.66,7.33,0,5.96,,,,,mean = 14.65; stdev = 0.15
COTO35,Corynorhinus townsendii,2/10/2017,LCUT,Non-reproducing,Adult,Female,44.8,1,9.9,0.84,3.87,0,3.05,,,,,mean = 14.65; stdev = 0.15
COTO36,Corynorhinus townsendii,2/10/2017,LCUT,Non-reproducing,Adult,Male,42.3,0,8.2,0.92,5.98,0,4.64,,,,,mean = 14.65; stdev = 0.15
MYVE14,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,45.6,1,12.3,1.51,3.83,0.18,3.3,0.74,2.58,0,2.94,
MYVE15,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Male,44.6,1,11.3,1.36,5.11,0.06,4.73,,,,,
MYVE16,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,46,1,11.6,1.22,5.38,0.16,4.25,,,,,
MYVE17,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,46.2,1,12.5,2.01,5.49,0.12,5.05,1.71,6.3,0.01,6.02,
MYVE18,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,45,2,12.1,1.58,5.41,0.12,5.15,1.49,5.39,0.03,5.03,
MYVE19,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,45.9,1,11.8,1.02,6.8,0,6.48,,,,,
MYVE20,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,46.2,3,12.8,1.45,5.95,0.04,5.62,1.28,4.59,0.02,4.56,
MYVE21,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,45.9,1,12.7,1.37,6.21,0.15,6.08,1.42,3.85,0.08,3.71,
MYVE22,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Male,45.6,1,12.5,1.51,5.23,0,4.89,1.25,4.62,0.01,3.99,
MYVE23,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,48.2,1,14.6,2.14,6.87,0.03,6.48,1.47,3.82,0,5.94,
MYVE24,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,46.3,1,11.3,1.01,4.31,0,3.92,,,,,
MYVE25,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,45.8,1,11.1,1.06,6.21,0.06,5.83,,,,,
MYVE26,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Female,47.5,1,12.9,1.81,5.46,0.05,5.03,1.19,3.25,0.06,3.02,
MYVE27,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Male,44.5,2,10.8,0.95,5.65,0.04,5.87,,,,,
MYVE28,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Male,43.5,1,11.9,1.27,5.9,0.04,6.38,,,,,
MYVE29,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Male,45.9,2,12.9,1.4,5.96,0.04,5.93,1.47,5.53,0,3.58,
MYVE30,Myotis velifer,25/02/2017,SLL,Non-reproducing,Adult,Male,43.4,1,10.6,0.92,6.14,0,6.23,,,,,
MYLU1,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Female,40,1,8.1,0.85,2.35,0.31,2.89,,,,,
MYLU2,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Male,35.2,0,6.5,0.71,3.8,0.34,3.95,,,,,
MYLU3,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Male,36.3,1,6.4,0.4,3.7,0.07,1.27,,,,,
MYVO1,Myotis volans,17/02/2017,LCC,Non-reproducing,Adult,Male,38.1,0,7.5,0.97,4.38,0.11,3.53,,,,,
MYLU4,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Male,35.5,2,6.4,0.85,3.23,0.68,4.79,,,,,
MYVO2,Myotis volans,17/02/2017,LCC,Non-reproducing,Adult,Female,40.2,1,8.8,1.55,3.57,0.05,2.82,,,,,
MYVO3,Myotis volans,17/02/2017,LCC,Non-reproducing,Adult,Male,37.5,1,8.1,1.34,2.62,0.01,2.99,,,,,
MYLU5,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Male,36.1,1,6.3,0.67,2.92,0.23,2.23,,,,,
MYLU6,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Male,38.3,1,6.5,0.52,1.94,0,1.97,,,,,
MYLU7,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Male,36.3,2,6,1.04,1.81,0.85,1.84,,,,,
MYLU8,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Female,37,1,6.3,0.62,3.84,0,2.47,,,,,
MYLU10,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Female,38.3,1,8.4,1.96,4.22,0,2.64,,,,,
MYLU9,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Female,34.5,2,5.5,1.11,2.65,0.03,2.39,,,,,
MYLU11,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Female,37.5,2,7.9,1.22,3.55,0,3.28,,,,,
MYLU12,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Male,35.8,0,5.6,0.23,3.22,0.09,3.13,,,,,
MYVO4,Myotis volans,17/02/2017,LCC,Non-reproducing,Adult,Male,38,1,6.5,1.05,2.97,0,3.2,,,,,
MYVO5,Myotis volans,17/02/2017,LCC,Non-reproducing,Adult,Male,36.2,1,6.8,0.79,2.38,0.2,1.83,,,,,
MYLU13,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Female,37.1,3,6.5,0.63,3.71,0,3.99,,,,,
MYLU14,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Male,39.2,1,8.1,0.73,4.22,0,4.28,,,,,
MYLU15,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Male,37.2,1,6.9,1.36,2.88,0.56,2.53,,,,,
MYLU16,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Male,36,0,6.1,0.36,3.63,0,3.01,,,,,
MYLU17,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Female,36.6,1,6.4,0.97,2.76,0,5.27,,,,,
MYLU18,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Male,36,2,6.5,0.4,2.81,0.31,2.6,,,,,
MYLU19,Myotis lucifugus,17/02/2017,LCC,Non-reproducing,Adult,Male,36.1,1,6,1.03,3.56,0,3.86,,,,,
MYEV2,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,38.5,0,7.3,1.18,2.9,0.12,3.09,,,,,mean= 14.6; stdev = 0.11
MYEV3,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Female,39.5,1,7.4,1.77,4.53,0.32,3.82,,,,,mean= 14.6; stdev = 0.11
MYEV4,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,38.5,0,7.1,1.45,2.9,0,2.67,,,,,mean= 14.6; stdev = 0.11
MYEV5,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,38,1,6.8,1.26,4.57,0.22,4.14,,,,,mean= 14.6; stdev = 0.11
MYEV6,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,38.7,0,8.9,0.785,2.65,0,2.29,,,,,mean= 14.6; stdev = 0.11
MYEV7,Myotis evotis,18/09/2017,LCC,Scrotal,Adult,Male,38.8,1,6.6,0.68,2.94,0.03,2.21,,,,,mean= 14.6; stdev = 0.11
MYEV8,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,39,1,6.9,1.34,4.42,0.01,3.49,,,,,mean= 14.6; stdev = 0.11
MYEV9,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,39.1,1,7.7,1.43,5.2,0.01,4.39,,,,,mean= 14.6; stdev = 0.11
MYEV10,Myotis evotis,18/09/2017,LCC,Scrotal,Adult,Male,39.3,1,7.8,2.14,4.44,0.47,3.28,,,,,mean= 14.6; stdev = 0.11
MYEV11,Myotis evotis,18/09/2017,LCC,Scrotal,Adult,Male,38.9,1,7.5,1.24,3.24,0,3.33,,,,,mean= 14.6; stdev = 0.11
MYEV12,Myotis evotis,18/09/2017,LCC,Scrotal,Adult,Male,38.4,1,6.9,1.2,4.81,0.08,4.56,,,,,mean= 14.6; stdev = 0.11
MYEV13,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,37.8,1,7.8,1.165,2.505,0.645,2,,,,,mean= 14.6; stdev = 0.11
MYEV14,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,38.5,1,6.8,0.86,4.69,0.03,4.17,,,,,mean= 14.6; stdev = 0.11
MYEV15,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,39.5,2,7.8,1.46,3.44,0,2.23,,,,,mean= 14.6; stdev = 0.11
MYEV16,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,39.5,1,8.3,1.96,5.1,0.2,4.4,,,,,mean= 14.6; stdev = 0.11
MYEV17,Myotis evotis,18/09/2017,LCC,Scrotal,Adult,Male,38.3,1,7.1,1.075,3.09,0.45,2.98,,,,,mean= 14.6; stdev = 0.11
MYEV18,Myotis evotis,18/09/2017,LCC,Scrotal,Adult,Male,35.5,1,7.5,2.09,4.32,0.12,3.93,,,,,mean= 14.6; stdev = 0.11
MYEV19,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,38,1,7.8,1.37,4.38,0,3.76,,,,,mean= 14.6; stdev = 0.11
MYEV20,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,39,1,8,2.38,4.36,5.21,0,,,,,mean= 14.6; stdev = 0.11
MYEV21,Myotis evotis,18/09/2017,LCC,Scrotal,Adult,Male,38.9,1,6.6,0.66,3.35,0,3.28,,,,,mean= 14.6; stdev = 0.11
MYEV22,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,38.5,1,7.9,2.08,4.86,5.04,2.84,,,,,mean= 14.6; stdev = 0.11
MYEV23,Myotis evotis,18/09/2017,LCC,Scrotal,Adult,Male,37.3,1,7.5,1.315,2.585,0.14,2.215,,,,,mean= 14.6; stdev = 0.11
MYEV24,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,36.7,1,8,2.32,4.67,0,0,,,,,mean= 14.6; stdev = 0.11
MYEV25,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,37,1,7.8,1.62,2.876666667,0.176666667,3.03,,,,,mean= 14.6; stdev = 0.11
MYEV26,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,38.5,1,8.1,2.42,4.65,0.37,3.83,,,,,mean= 14.6; stdev = 0.11
MYEV1,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,37.9,1,7.3,0.81,5.29,0.04,4.65,,,,,mean= 14.6; stdev = 0.11
MYEV27,Myotis evotis,18/09/2017,LCC,Scrotal,Adult,Male,38.8,1,7.5,0.885,3.5,0.18,1.565,,,,,mean= 14.6; stdev = 0.11
MYEV28,Myotis evotis,18/09/2017,LCC,Scrotal,Adult,Male,37.2,1,6.2,0.89,4.25,0,3.62,,,,,mean= 14.6; stdev = 0.11
MYEV29,Myotis evotis,18/09/2017,LCC,Scrotal,Adult,Male,38.5,0,8,1.95,2.84,0,2.16,,,,,mean= 14.6; stdev = 0.11
MYEV30,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,38.6,1,7.7,2.38,4.49,0.11,3.99,,,,,mean= 14.6; stdev = 0.11
MYEV31,Myotis evotis,18/09/2017,LCC,Non-reproducing,Adult,Male,38.2,1,6,0.77,4.56,0,3.99,,,,,mean= 14.6; stdev = 0.11
MYEV47,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,40.1,1,8.7,2.87,4.74,0,4.22,,,,,mean = 14.65; stdev = 0.16
MYEV48,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,37.8,1,8,1.94,4.17,0,3.39,,,,,mean = 14.65; stdev = 0.16
MYEV49,Myotis evotis,27/09/2017,LCC,Non-reproducing,Adult,Male,38.2,2,8,2.14,3.59,0.03,2.82,,,,,mean = 14.65; stdev = 0.16
MYEV50,Myotis evotis,27/09/2017,LCC,Non-reproducing,Adult,Male,36.9,0,7,2.01,4.26,1.35,1.44,,,,,mean = 14.65; stdev = 0.16
MYEV51,Myotis evotis,27/09/2017,LCC,Non-reproducing,Adult,Male,39.1,0,7.2,2.09,4.63,0.04,3.85,,,,,mean = 14.65; stdev = 0.16
MYEV52,Myotis evotis,27/09/2017,LCC,Scrotal,Adult,Male,39.3,1,8.2,2.09,4.96,0,4.43,,,,,mean = 14.65; stdev = 0.16
