Bat ID,Bat Species,Alpha Code,Date Captured,Season,Site ID,Site Name,Sex,Age,Reproductive Condition,Wing Score,Forearm Length,Mass (prior resp),Fat,Lean,FreeWater,TotalWater,Before/After Respirometry,Suspect,Comments
PESU23,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,33.9,5.3,0.95,3.59,0,0,Before,1,Suspect; low signal
PESU24,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,2,37.5,5.8,1.35,3.11,0.77,2.92,Before,1,Suspect; low signal
PESU25,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,34,6.2,1.66,3.64,0,3.14,Before,1,Suspect; low signal
PESU26,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,34.7,7,1.86,3.24,0,2.56,Before,1,Suspect; low signal
PESU27,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,34.8,6,2.81,3.31,0.36,2.78,Before,1,Suspect; low signal
PESU27,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,34.8,6,2.31,3.79,0.63,3.33,Before,1,Suspect; low signal
PESU28,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,1,35.6,5.4,1.49,2.54,0.81,2.22,Before,1,Suspect; low signal
PESU29,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,33.1,5.4,1.46,2.48,3.92,2.76,Before,1,Suspect; low signal
PESU3,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,33.6,5.9,1.17,4,0.41,4.08,Before,1,Suspect; low signal
PESU30,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,0,34.8,5.4,1.18,2.94,0.3,1.5,Before,1,Suspect; low signal
PESU31,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,1,33.4,5.2,1.23,3.63,0,3,Before,1,Suspect; low signal
PESU4,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,0,34.3,5.5,1.06,3.52,0,4.09,Before,1,Suspect; low signal
PESU5,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,1,33.3,5.1,1.04,3.36,0.3,1.46,Before,1,Suspect; low signal
PESU6,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,2,33.8,4.9,1.54,2.58,0.42,2.66,Before,1,Suspect; low signal
PESU7,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,33.4,5.2,1.48,2.69,0.22,2.01,Before,1,Suspect; low signal
PESU8,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,2,34.1,5.2,1.01,3.54,0,2.92,Before,1,Suspect; low signal
PESU9,Perimyotis subflavus,PESU,1/28/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,0,33.9,5.4,1.14,3.38,0.91,0,Before,1,Suspect; low signal
COTO1,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Male,Adult,Non-reproducing,0,44.2,8.3,0.54,2.66,0.05,2.66,After,0,
COTO10,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Female,Adult,Non-reproducing,1,43.4,9.5,0.88,3.01,0,3.53,After,0,
COTO14,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Female,Adult,Non-reproducing,2,45.9,10,1.07,4.11,0.09,3.9,After,0,
COTO17,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Male,Adult,Scrotal,2,43.8,8.6,0.91,3.88,0.09,4.68,After,0,
COTO19,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Female,Adult,Non-reproducing,1,45.9,10.3,0.71,4.34,0.16,4.13,After,0,
COTO2,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Female,Adult,Non-reproducing,1,42.4,9.7,0.84,3.34,0,2.85,After,0,
COTO220,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Male,Adult,Scrotal,0,43.7,9.6,0.79,3.52,0,1.28,After,0,mean = 14.6; stdev = 0.154
COTO222,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Female,Adult,Unknown,1,45,10.8,1.43,7.44,0,2.47,After,0,mean = 14.6; stdev = 0.157
COTO223,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Male,Adult,Scrotal,0,42.9,9.5,1.22,5.06,0,1.71,After,0,mean = 14.6; stdev = 0.164
COTO224,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Female,Adult,Unknown,1,45.9,10.6,1.84,6.88,0,1.02,After,0,mean = 14.6; stdev = 0.155
COTO225,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Female,Adult,Unknown,1,45.7,11,0.72,4.08,0.56,3.21,After,0,mean = 14.6; stdev = 0.163
COTO228,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Female,Adult,Unknown,1,45.9,10.2,0.91,6.95,0.1,3.46,After,0,mean = 14.6; stdev = 0.159
COTO23,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Male,Adult,Non-reproducing,0,42.8,8.3,0.58,3.03,0.09,3.02,After,0,
COTO230,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Male,Adult,Unknown,1,45,8.2,0.49,4.43,0.44,3.62,After,0,mean = 14.6; stdev = 0.158
COTO232,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Male,Adult,Unknown,1,44,8.9,1.54,5.88,0.37,1.58,After,0,mean = 14.6; stdev = 0.153
COTO234,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Male,Adult,Scrotal,1,44.8,9.2,1.97,6.11,0,7.31,After,0,mean = 14.6; stdev = 0.150
COTO238,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Female,Adult,Unknown,1,44.2,9.8,1.43,4.15,1,1.94,After,0,mean = 14.6; stdev = 0.160
COTO243,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Male,Adult,Non-reproducing,0,45.1,8.9,0.87,2.69,0.6,1.66,After,0,mean = 14.6; stdev = 0.151
COTO243,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Male,Adult,Non-reproducing,0,45.1,8.9,0.4,2.71,0,1.15,After,0,mean = 14.6; stdev = 0.152
COTO243,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Male,Adult,Non-reproducing,0,45.1,8.9,0.7,6.03,1.37,0.39,After,0,mean = 14.6; stdev = 0.165
COTO245,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Female,Adult,Unknown,1,46.1,11.1,0.79,4.74,0.2,4.23,After,0,mean = 14.6; stdev = 0.156
COTO246,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Female,Adult,Unknown,1,46.6,10.2,1,3.75,0.08,3.24,After,0,mean = 14.6; stdev = 0.162
COTO247,Corynorhinus townsendii,COTO,1/29/2018,Winter,PMM,Piermont Mine,Male,Adult,Unknown,0,44,9.1,1.74,5.97,0.03,4.86,After,0,mean = 14.6; stdev = 0.161
COTO25,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Male,Adult,Non-reproducing,1,40.4,7.4,0.74,3.56,0,2.95,After,0,
COTO26,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Female,Adult,Non-reproducing,0,45.1,9.5,0.96,4.81,0.16,4.54,After,0,
COTO28,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Male,Adult,Scrotal,2,42,7.9,0.45,3.64,0.21,3.4,After,0,
COTO29,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Female,Adult,Non-reproducing,0,45,11.3,1.25,4.37,0.12,4.25,After,0,
COTO31,Corynorhinus townsendii,COTO,2/14/2017,Winter,ODW,Old Dry Wolf,Male,Adult,Scrotal,0,43.7,9.5,0.68,2.52,0.17,2.29,After,0,"On datasheets, this bat is labeled as COTO 1 but was changed for the database to maintain labeling scheme"
COTO7,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Female,Adult,Non-reproducing,1,45.3,9.5,0.86,3.51,0.25,3.04,After,0,
COTO8,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Female,Adult,Non-reproducing,1,44.6,9.7,0.86,3.26,0,3.21,After,0,
COTO9,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Male,Adult,Non-reproducing,0,42.3,10.2,0.84,3.6,0,2.97,After,0,
EPFU1,Eptesicus fuscus,EPFU,2/14/2017,Winter,ODW,Old Dry Wolf,Male,Adult,Non-reproducing,1,45.3,10,0.44,4.04,0.18,4.01,After,0,
EPFU2,Eptesicus fuscus,EPFU,2/14/2017,Winter,ODW,Old Dry Wolf,Male,Adult,Non-reproducing,1,47,14.9,0.76,3.8,0,3.83,After,0,
EPFU4,Eptesicus fuscus,EPFU,2/14/2017,Winter,ODW,Old Dry Wolf,Male,Adult,Non-reproducing,1,47.8,14.7,0.85,3.89,0.02,3.71,After,0,
EPFU5,Eptesicus fuscus,EPFU,2/14/2017,Winter,ODW,Old Dry Wolf,Male,Adult,Non-reproducing,1,47.8,15.3,1.27,6.42,0.06,7.04,After,0,
MYVE1,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,45.8,13.1,1.03,4.09,0,3.61,After,0,
MYVE10,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,1,45.1,12.7,1.3,5.14,0,4.93,After,0,
MYVE101,Myotis velifer,MYVE,11/1/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,45.5,15.1,2.76,5.02,0.02,4.05,After,0,mean = 14.6; stdev = 0.03
MYVE102,Myotis velifer,MYVE,11/1/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,45,15.8,2.76,5.54,0.04,4.54,After,0,mean = 14.6; stdev = 0.03
MYVE105,Myotis velifer,MYVE,11/1/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Scrotal,1,46.8,16,3.5,7.18,0.04,6.13,After,0,mean = 14.6; stdev = 0.03
MYVE114,Myotis velifer,MYVE,11/1/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Scrotal,1,36.4,15.4,3.17,6.33,0.06,5.01,After,0,mean = 14.6; stdev = 0.03
MYVE116,Myotis velifer,MYVE,11/1/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,2,46,17.6,4,6.43,0,5.56,After,0,mean = 14.6; stdev = 0.03
MYVE12,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,2,46.3,13.8,1.48,4.63,0,3.72,After,0,
MYVE127,Myotis velifer,MYVE,11/1/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Scrotal,2,44.5,13.5,2.2,4.37,0.06,3.83,After,0,mean = 14.6; stdev = 0.03
MYVE128,Myotis velifer,MYVE,11/1/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,47.7,15.5,3.4,6.71,0.04,5.67,After,0,mean = 14.6; stdev = 0.03
MYVE129,Myotis velifer,MYVE,11/1/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,44,14.5,2.54,5.97,0.03,4.98,After,0,mean = 14.6; stdev = 0.03
MYVE130,Myotis velifer,MYVE,11/1/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,44.4,14.9,3.18,7.05,0.02,6.1,After,0,mean = 14.6; stdev = 0.03
MYVE132,Myotis velifer,MYVE,11/1/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,46.5,15.5,2.92,5.67,0,4.76,After,0,mean = 14.6; stdev = 0.03
MYVE135,Myotis velifer,MYVE,11/1/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,47.1,16.4,3.42,5.43,0.15,4.35,After,0,mean = 14.6; stdev = 0.03
MYVE14,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,45.6,12.3,0.74,2.58,0,2.94,After,0,
MYVE147,Myotis velifer,MYVE,11/1/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,47.3,17.1,3.89,6.67,0,5.58,After,0,mean = 14.59; stdev = 0.026
MYVE154,Myotis velifer,MYVE,11/3/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,46.1,15.3,2.47,5.28,0,4.25,After,0,mean = 14.59; stdev = 0.028
MYVE155,Myotis velifer,MYVE,11/3/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,47,15.1,2.86,6.33,0.06,5.35,After,0,mean = 14.59; stdev = 0.028
MYVE159,Myotis velifer,MYVE,11/3/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Scrotal,1,44.3,14.2,2.47,6.71,0.05,5.63,After,0,mean = 14.59; stdev = 0.028
MYVE160,Myotis velifer,MYVE,11/3/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Scrotal,1,43.3,13.8,2.59,5.83,0.06,4.39,After,0,mean = 14.59; stdev = 0.028
MYVE161,Myotis velifer,MYVE,11/3/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Scrotal,3,44.1,14.5,2.56,6.05,0.01,4.77,After,0,mean = 14.59; stdev = 0.028
MYVE162,Myotis velifer,MYVE,11/3/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,45.2,14.9,2.69,6.71,0.08,5.72,After,0,mean = 14.59; stdev = 0.028
MYVE163,Myotis velifer,MYVE,11/3/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,45.3,14.6,2.86,6.65,0,5.5,After,0,mean = 14.59; stdev = 0.028
MYVE17,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,46.2,12.5,1.71,6.3,0.01,6.02,After,0,
MYVE18,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,2,45,12.1,1.49,5.39,0.03,5.03,After,0,
MYVE20,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,3,46.2,12.8,1.28,4.59,0.02,4.56,After,0,
MYVE21,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,45.9,12.7,1.42,3.85,0.08,3.71,After,0,
MYVE22,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,1,45.6,12.5,1.25,4.62,0.01,3.99,After,0,
MYVE23,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,48.2,14.6,1.47,3.82,0,5.94,After,0,
MYVE26,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,47.5,12.9,1.19,3.25,0.06,3.02,After,0,
MYVE29,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,2,45.9,12.9,1.47,5.53,0,3.58,After,0,
MYVE3,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,1,46.5,12.6,1.48,5.94,0.01,5.21,After,0,
MYVE7,Myotis velifer,MYVE,2/25/2017,Winter,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,45.5,12.1,0.92,3.96,0.1,3.39,After,0,
PESU107,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Female,Adult,Unknown,1,34.2,6.7,1.77,4.03,0.08,3.39,After,0,mean = 14.6; stdev = 0.035
PESU108,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Female,Adult,Unknown,1,35.5,6.2,1.17,3.94,0,3.4,After,0,mean = 14.6; stdev = 0.035
PESU109,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Male,Adult,Unknown,1,36,5.7,1.14,3.05,0,2.71,After,0,mean = 14.6; stdev = 0.035
PESU112,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Female,Adult,Unknown,1,35.1,6.1,1.12,4,0,3.33,After,0,mean = 14.6; stdev = 0.035
PESU115,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Female,Adult,Unknown,0,35.3,6.3,1.24,3.33,0.05,2.99,After,0,mean = 14.6; stdev = 0.035
PESU116,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Male,Adult,Unknown,1,34.2,5.6,0.73,3.73,0.09,3.25,After,0,mean = 14.6; stdev = 0.035
PESU121,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Female,Adult,Unknown,0,33.8,6.4,1.15,3.93,0.1,3.48,After,0,mean = 14.6; stdev = 0.035
PESU124,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Female,Adult,Unknown,0,33.5,6.5,1.36,3.1,0.09,2.59,After,0,mean = 14.6; stdev = 0.035
PESU127,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Male,Adult,Unknown,1,33.8,6.5,1.49,2.96,0,2.56,After,0,mean = 14.6; stdev = 0.035
PESU129,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Male,Adult,Unknown,1,34.2,6.1,1.2,2.97,0.09,2.46,After,0,mean = 14.6; stdev = 0.035
PESU130,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Male,Adult,Unknown,0,35.5,7.4,1.22,4.35,0.12,3.92,After,0,mean = 14.6; stdev = 0.035
PESU131,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Female,Adult,Unknown,0,34.1,6.5,1.66,3.82,0.07,3.35,After,0,mean = 14.6; stdev = 0.035
PESU133,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Male,Adult,Unknown,0,35.3,5.5,0.67,2.83,0.01,2.29,After,0,mean = 14.6; stdev = 0.035
PESU135,Perimyotis subflavus,PESU,1/13/2018,Winter,SLL,Selman Living Lab Cave,Male,Adult,Unknown,0,34.1,5.7,0.45,2.48,0.04,2.53,After,0,mean = 14.6; stdev = 0.035
PESU34,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,33.1,7.3,2.11,3.19,0,2.98,After,0,mean = 14.57; stdev = 0.036
PESU35,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,35.3,7.8,2.22,3.12,0.01,2.91,After,0,mean = 14.57; stdev = 0.036
PESU36,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,34.5,7.6,1.92,3.52,0,2.99,After,0,mean = 14.57; stdev = 0.036
PESU40,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Scrotal,0,33.3,7.3,1.68,3.23,0.26,3.04,After,0,mean = 14.57; stdev = 0.036
PESU41,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,35.3,7.8,1.61,3.17,0,2.82,After,0,mean = 14.57; stdev = 0.036
PESU48,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Scrotal,1,34.3,7.7,2.31,2.7,0.1,2.16,After,0,mean = 14.57; stdev = 0.036
PESU50,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,0,32.8,7.2,1.72,3.14,0.21,2.99,After,0,mean = 14.57; stdev = 0.036
PESU53,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,35.1,7.5,2.17,2.99,0.16,2.55,After,0,mean = 14.57; stdev = 0.036
PESU54,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Non-reproducing,1,33.5,7.1,2.08,2.72,0.04,2.33,After,0,mean = 14.57; stdev = 0.036
PESU59,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,33.3,7.2,2.22,3.04,0.02,2.69,After,0,mean = 14.57; stdev = 0.036
PESU60,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Scrotal,1,33.2,7.7,2.43,3.13,0.07,2.71,After,0,mean = 14.57; stdev = 0.036
PESU62,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,34.3,7.8,2.1,2.94,0.16,3.36,After,0,mean = 14.57; stdev = 0.036
PESU67,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,0,34.5,7.6,2.13,3.02,0.15,2.99,After,0,mean = 14.57; stdev = 0.036
PESU70,Perimyotis subflavus,PESU,10/30/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Scrotal,0,33.5,7.4,2.07,3.08,0.04,2.85,After,0,mean = 14.57; stdev = 0.036
PESU88,Perimyotis subflavus,PESU,11/3/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,0,33.2,7.6,1.76,3.17,0.21,2.72,After,0,mean = 14.59; stdev = 0.028
PESU91,Perimyotis subflavus,PESU,11/3/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Scrotal,1,34.4,6.3,1.51,1.53,0.08,1.51,After,0,mean = 14.59; stdev = 0.028
PESU92,Perimyotis subflavus,PESU,11/3/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Scrotal,0,34.5,7.2,1.88,3.16,0.02,2.49,After,0,mean = 14.59; stdev = 0.028
PESU93,Perimyotis subflavus,PESU,11/3/2017,Fall,SLL,Selman Living Lab Cave,Male,Adult,Scrotal,1,35.4,7.1,1.93,2.53,0.07,2.59,After,0,mean = 14.59; stdev = 0.028
PESU95,Perimyotis subflavus,PESU,11/3/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,35.7,6.8,1.28,2.4,0.02,2.05,After,0,mean = 14.59; stdev = 0.028
PESU96,Perimyotis subflavus,PESU,11/3/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,0,34.2,8.4,2.78,3.3,0.06,2.64,After,0,mean = 14.59; stdev = 0.028
PESU98,Perimyotis subflavus,PESU,11/3/2017,Fall,SLL,Selman Living Lab Cave,Female,Adult,Non-reproducing,1,34.6,8,2.16,3.3,0,2.89,After,0,mean = 14.59; stdev = 0.028
COTO1,Corynorhinus townsendii,COTO,2/7/2017,Winter,DOX,Paradox Mine,Male,Adult,Non-reproducing,0,44.2,8.3,0.82,2.58,0,2.72,Before,0,
